央视,#genre#
CCTV1,https://mgtv.ottiptv.cc/mg/608807420.m3u8?userid=423579792&sign=74816d3a0858dc608cc1ce0a96480518521cb91ab246e9a16a1123d02e138f15aeae7754a4592ea862ac0154fe7183145a674ea0c7b640ab789f125260223fe4f39b27767da980c81da569f1491f97f8&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=423579792&sign=ee30fe0ab6cd806d359ee9bd62b1012aa8319d8cdc0b22d35d25d8c9427617732f60025fc3d9283533541abf0d6dc995ed38b94bdc5f4fa29fa2347cf666303551f7066cba69df6b82cc6ec1&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV1,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?
CCTV2,https://mgtv.ottiptv.cc/mg/631780532.m3u8?userid=423579792&sign=ec7042e6b18192b266a27d5b894b12aea25d899ebaf33ccccd380dbe4082e477d3cbb4664bbca98632ddb41b518a3207eddeeaf82aa9601f590be394c25435e756359c095e490b9648b9984fbceee348&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,https://live.ottiptv.cc/mcp/cctv2.m3u8?userid=423579792&sign=51729159cfb239065383d8b16605eb0ede020150a2256e9bf9dd96fd43c92a85fff9bec6b9b7b26422d9dbde5bfdd3290843a995b99ec3b39b17b1a09e74795be5a097a803c5772e4c20c19c&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV2,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?
CCTV3,https://mgtv.ottiptv.cc/mg/624878271.m3u8?userid=423579792&sign=af8bfa64db536b7f3e4e697bb0415b0bc893281c110808dc02c4299b01ab962e689dc3638f19f59e99176820e9a5def97208711d735934f1032468467ed6339d821b7cfb7313f8a0a9420d9d414e0ee0&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,https://live.ottiptv.cc/mcp/cctv3.m3u8?userid=423579792&sign=6fbc61ee9422511c301a2a7c29dd95b7e824b3578b62fe012f2a6077258d24d5cd46300d760135275e9b6abe23406fa6ed6f89d7f9e3bb11f448195632b757429e2d49089f02f7bf6251801a&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV3,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226471/1.m3u8?
CCTV4,https://mgtv.ottiptv.cc/mg/631780421.m3u8?userid=423579792&sign=3f15a8eb6321f95ba16d98828cd43b581d4a52ce26043c81daac04a855b27b82ce86f68c00f8cf7d1abbbddaf7e19fb575eda405b1d5219cf91e2fbd16083b6769921b4b6763567277266f0254ee259b&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,https://live.ottiptv.cc/mcp/cctv4.m3u8?userid=423579792&sign=be3dc87d4d8b18efb92f8695d0e4c85f688070fdfb0357f250c3871dc322c0fc78059c7a306588333714ceab577ecc87853e25326d63a2546865495685f4bfe00453196bbad2e25d29036d57&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?
CCTV4欧洲,https://mgtv.ottiptv.cc/mg/608807419.m3u8?userid=423579792&sign=6abd4660bfb2fcea100968ae0adadd95c6ecb8b9d54a2ff2fdade7b85d58370153787a37910fda1bd64196d6e1de20041a46a9b5eca204d457a9c91df3fa6fc7077c7fa613f4046a6f70b5e463e58154&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV4美洲,https://mgtv.ottiptv.cc/mg/608807416.m3u8?userid=423579792&sign=a54f36b4c7f60cd97388a1dd470283346fc44393cfefbf0e5dbcde58514583e4a6f2e1fb5578b4ad2cda1eb515cebca6f8884e4877089cd14100f329ccbe3a38beaae6a930919b2f68d9a5bae9468cd3&auth_token=acb0c268be4342419aa3ba49796b45e0
CCTV5,https://mgtv.ottiptv.cc/mg/641886683.m3u8?userid=423579792&sign=7ff39f20d7a895485c33c71b0aa348c4d045c357304cd55de2229f417c2ee5e9ebc5c7d40848aef70175197dc0bdeda2b37bcf7a149dc25996627a7bacbc10dd06c8842a6e5b16e09919896c58d481a9&auth_token=acb0c268be4342419aa3ba49796b45e0
